Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LUAD.US_SP52667	3.17E+02	3.35E+02	6.83E+01	3.88E+01	5.76E+01	2.54E+01	1.60E+01	1.71E+01	6.73E+00
LUSC.US_SP57450	5.14E+01	3.37E+01	3.68E+01	1.27E+02	4.70E+01	1.60E+02	1.63E+01	2.41E+01	5.57E+00
LUSC.US_SP57846	1.70E+02	1.79E+02	6.85E+01	2.23E+02	1.27E+02	2.49E+02	4.68E+01	4.43E+01	7.69E+00
LUSC.US_SP58612	2.00E+02	1.88E+02	9.37E+01	3.88E+01	9.03E+01	3.04E+01	8.17E+01	6.45E+01	8.72E+00
LUSC.US_SP56821	1.66E+02	1.74E+02	6.82E+01	2.87E+01	7.95E+01	3.06E+01	6.37E+01	4.53E+01	6.95E+00
LUAD.US_SP51446	3.58E+00	1.01E+01	2.20E+01	7.71E+00	2.22E+01	9.58E+00	8.49E+00	1.54E+01	2.67E+00
LUAD.US_SP50592	9.08E+00	7.85E+00	1.66E+01	4.91E+00	1.46E+01	8.11E+00	7.43E+00	1.48E+01	2.60E+00
LUAD.US_SP53073	1.20E+02	1.21E+02	4.10E+01	2.19E+01	7.95E+01	1.82E+01	2.34E+01	1.59E+01	1.58E+01
LUSC.US_SP58882	1.54E+02	8.69E+01	8.09E+01	3.37E+01	1.46E+02	2.57E+01	4.53E+01	2.51E+01	8.86E+00
LUSC.US_SP57189	6.01E+02	7.24E+02	2.95E+02	1.18E+02	2.47E+02	9.92E+01	9.74E+01	9.32E+00	1.91E+01
