Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
Skin-Melanoma::SP124425	2.49E+01	9.15E+01	2.29E+01	2.57E+01	7.46E+01
Skin-Melanoma::SP124367	5.27E+01	3.20E+01	1.69E+01	5.80E+01	7.11E+01
Skin-Melanoma::SP124377	2.10E+01	4.14E+01	1.06E+01	1.49E+01	3.66E+01
Skin-Melanoma::SP124412	2.41E+01	9.19E+01	1.70E+01	6.69E+01	3.07E+01
Skin-Melanoma::SP124329	1.59E+01	1.99E+01	7.60E+00	1.04E+01	1.77E+01
Skin-Melanoma::SP124326	2.23E+01	6.96E+01	5.76E+01	3.27E+01	3.80E+01
Skin-Melanoma::SP124458	3.33E+01	3.85E+01	3.28E+01	2.57E+01	4.24E+01
Skin-Melanoma::SP124401	8.32E+01	7.99E+01	5.45E+01	6.58E+01	1.01E+02
Skin-Melanoma::SP124384	1.44E+02	1.28E+03	7.72E+01	1.91E+02	1.06E+03
Skin-Melanoma::SP124462	3.11E+01	6.62E+01	2.44E+01	2.50E+01	4.64E+01
Skin-Melanoma::SP124452	2.69E+01	6.25E+01	1.14E+01	1.70E+01	4.30E+01
Skin-Melanoma::SP124386	3.50E+01	8.38E+01	1.83E+01	1.73E+01	5.17E+01
Skin-Melanoma::SP124418	2.45E+01	5.02E+01	1.20E+01	3.40E+01	2.25E+01
Skin-Melanoma::SP124319	3.70E+01	2.63E+01	2.50E+01	1.57E+01	3.56E+01
Skin-Melanoma::SP124447	8.38E+01	5.16E+01	1.43E+02	7.21E+01	1.36E+02
Skin-Melanoma::SP124369	4.11E+01	7.09E+01	1.25E+01	1.77E+01	3.57E+01
Skin-Melanoma::SP124365	2.36E+01	1.16E+02	1.08E+01	3.28E+01	7.86E+01
Skin-Melanoma::SP124420	2.47E+01	6.22E+01	9.84E+00	1.06E+01	4.03E+01
Skin-Melanoma::SP124364	2.73E+01	6.22E+01	2.02E+01	2.37E+01	5.56E+01
Skin-Melanoma::SP124307	3.04E+01	3.90E+01	1.48E+01	2.01E+01	2.41E+01
Skin-Melanoma::SP82445	1.34E+02	3.05E+02	2.33E+02	1.12E+02	3.00E+02
Skin-Melanoma::SP83242	2.08E+01	7.97E+01	1.20E+01	5.94E+01	2.16E+01
Skin-Melanoma::SP103894	3.00E+01	8.98E+01	2.70E+01	3.43E+01	8.28E+01
Skin-Melanoma::SP83382	2.09E+01	4.45E+01	5.77E+00	1.34E+01	2.73E+01
Skin-Melanoma::SP82451	2.53E+01	1.53E+02	2.92E+01	3.04E+01	1.01E+02
Skin-Melanoma::SP83312	1.58E+01	5.76E+01	9.11E+00	1.72E+01	4.20E+01
Skin-Melanoma::SP82614	1.75E+01	4.37E+01	7.80E+00	1.18E+01	3.35E+01
Skin-Melanoma::SP82431	9.70E+01	1.61E+02	1.50E+02	1.08E+02	7.51E+01
Skin-Melanoma::SP82459	2.53E+01	8.15E+01	1.32E+01	1.80E+01	5.43E+01
Skin-Melanoma::SP82532	4.02E+01	9.31E+01	1.01E+02	8.52E+01	7.63E+01
Skin-Melanoma::SP83482	2.33E+01	3.48E+01	1.24E+01	2.45E+01	4.77E+01
Skin-Melanoma::SP104530	2.94E+01	1.51E+02	4.57E+01	3.96E+01	1.02E+02
Skin-Melanoma::SP82644	5.33E+01	4.93E+01	2.24E+01	2.04E+01	3.43E+01
Skin-Melanoma::SP82988	2.35E+01	4.19E+01	1.31E+01	9.87E+00	3.01E+01
Skin-Melanoma::SP82461	2.74E+01	6.49E+01	1.96E+01	1.78E+01	4.85E+01
Skin-Melanoma::SP82900	5.12E+01	3.77E+01	5.22E+01	5.22E+01	4.73E+01
Skin-Melanoma::SP82399	2.62E+01	5.41E+01	1.96E+01	2.67E+01	3.89E+01
Skin-Melanoma::SP82417	6.69E+01	6.06E+01	2.44E+01	1.54E+01	2.97E+01
Skin-Melanoma::SP104056	9.30E+01	2.94E+02	6.99E+01	1.15E+02	2.15E+02
Skin-Melanoma::SP83083	2.60E+01	7.01E+01	1.48E+01	1.76E+01	5.71E+01
Skin-Melanoma::SP83019	2.84E+01	5.71E+01	8.34E+00	1.61E+01	3.88E+01
Skin-Melanoma::SP83146	5.45E+01	3.62E+01	5.27E+01	2.84E+01	7.58E+01
Skin-Melanoma::SP103866	2.56E+01	5.67E+01	9.07E+00	1.38E+01	4.72E+01
Skin-Melanoma::SP83844	1.86E+01	4.78E+01	3.15E+01	2.43E+01	3.40E+01
Stomach-AdenoCA::SP135287	6.39E+01	2.92E+03	1.56E+02	2.70E+02	2.78E+03
Stomach-AdenoCA::SP85122	8.63E+01	3.56E+03	1.69E+02	3.46E+02	3.35E+03
Stomach-AdenoCA::SP84384	1.13E+02	5.43E+03	6.15E+01	3.35E+02	5.21E+03
Stomach-AdenoCA::SP84491	4.51E+01	1.62E+02	6.88E+01	1.76E+02	2.53E+02
Stomach-AdenoCA::SP84743	8.81E+01	1.18E+02	1.99E+02	1.70E+02	2.35E+02
Stomach-AdenoCA::SP84982	4.02E+01	2.02E+03	7.74E+01	2.96E+02	1.87E+03
Stomach-AdenoCA::SP84392	9.49E+01	4.34E+03	1.73E+02	5.57E+02	3.99E+03
Stomach-AdenoCA::SP105018	1.32E+02	3.84E+02	5.36E+02	3.69E+02	3.48E+02
Stomach-AdenoCA::SP84439	4.09E+02	1.61E+04	4.65E+02	2.85E+03	1.43E+04
Stomach-AdenoCA::SP84922	4.77E+01	4.09E+01	1.06E+02	1.55E+02	1.45E+02
Uterus-AdenoCA::SP90209	8.18E+02	2.43E+04	1.87E+03	3.59E+02	2.40E+04
Uterus-AdenoCA::SP93540	7.69E+01	3.03E+03	6.84E+01	3.52E+02	2.77E+03
Uterus-AdenoCA::SP93227	7.90E+02	3.15E+04	9.98E+03	8.61E+03	2.80E+04
Uterus-AdenoCA::SP94933	4.30E+01	2.31E+03	3.34E+01	4.75E+02	2.06E+03
Uterus-AdenoCA::SP92364	7.11E+01	5.05E+03	1.65E+01	7.72E+02	4.67E+03
Uterus-AdenoCA::SP92659	3.61E+02	1.77E+04	1.96E+04	1.76E+02	1.63E+04
