Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Skin-Melanoma::SP124425	1.93E+02	1.09E+01	1.41E+01	5.58E+01	6.98E+01	1.26E+01	2.47E+02	1.32E+01
Skin-Melanoma::SP124367	3.47E+02	1.37E+01	7.23E+00	2.96E+01	3.51E+01	2.47E+01	3.48E+02	1.15E+01
Skin-Melanoma::SP124377	1.56E+02	7.79E+00	1.20E+01	3.34E+01	4.20E+01	9.55E+00	1.50E+02	7.22E+00
Skin-Melanoma::SP124412	1.64E+02	5.76E+00	3.24E+01	1.83E+01	3.14E+01	7.20E+00	1.80E+02	3.34E+00
Skin-Melanoma::SP124329	1.02E+02	6.93E+00	8.17E+00	1.35E+01	1.90E+01	5.47E+00	1.16E+02	5.52E+00
Skin-Melanoma::SP124326	1.29E+02	5.94E+00	2.18E+01	1.51E+01	1.68E+01	5.85E+00	1.38E+02	8.79E+00
Skin-Melanoma::SP124458	3.75E+02	1.49E+01	1.70E+01	3.79E+01	4.17E+01	1.19E+01	3.83E+02	1.17E+01
Skin-Melanoma::SP124401	1.19E+03	3.64E+01	5.74E+01	1.59E+02	1.63E+02	3.07E+01	1.12E+03	3.88E+01
Skin-Melanoma::SP124384	3.42E+02	2.57E+01	7.64E+01	3.08E+01	8.62E+01	1.24E+01	3.30E+02	1.06E+01
Skin-Melanoma::SP124462	2.57E+02	1.29E+01	1.32E+01	2.37E+01	2.74E+01	1.04E+01	2.70E+02	8.45E+00
Skin-Melanoma::SP124452	2.26E+02	9.01E+00	1.14E+01	2.19E+01	2.69E+01	7.07E+00	2.27E+02	7.19E+00
Skin-Melanoma::SP124386	2.57E+02	1.11E+01	1.81E+01	1.46E+01	1.25E+01	8.16E+00	2.68E+02	9.99E+00
Skin-Melanoma::SP124418	2.27E+02	1.12E+01	1.67E+01	4.21E+01	4.44E+01	9.34E+00	2.66E+02	8.74E+00
Skin-Melanoma::SP124319	4.36E+02	1.89E+01	2.72E+01	1.16E+01	2.25E+01	1.68E+01	4.62E+02	1.53E+01
Skin-Melanoma::SP124447	1.01E+03	4.12E+01	2.91E+01	1.63E+02	2.00E+02	3.63E+01	1.10E+03	3.59E+01
Skin-Melanoma::SP124369	3.34E+02	1.37E+01	1.28E+01	2.15E+01	2.52E+01	1.09E+01	3.43E+02	1.06E+01
Skin-Melanoma::SP124365	1.57E+02	9.59E+00	1.34E+01	5.31E+01	5.63E+01	9.03E+00	2.06E+02	7.14E+00
Skin-Melanoma::SP124420	1.57E+02	7.36E+00	1.25E+01	1.29E+01	1.41E+01	5.52E+00	1.69E+02	7.39E+00
Skin-Melanoma::SP124364	2.32E+02	1.33E+01	1.31E+01	4.43E+01	3.95E+01	8.61E+00	2.51E+02	9.67E+00
Skin-Melanoma::SP124307	2.96E+02	1.11E+01	1.28E+01	1.35E+01	1.54E+01	8.24E+00	3.09E+02	9.62E+00
Skin-Melanoma::SP82445	1.52E+03	6.75E+01	1.16E+02	7.93E+01	6.67E+01	6.53E+01	1.63E+03	5.94E+01
Skin-Melanoma::SP83242	1.72E+02	3.38E+00	2.22E+01	2.32E+01	3.13E+01	8.30E+00	1.83E+02	7.79E+00
Skin-Melanoma::SP103894	3.55E+02	1.81E+01	1.51E+01	6.26E+01	9.48E+01	1.24E+01	3.96E+02	1.56E+01
Skin-Melanoma::SP83382	1.50E+02	6.73E+00	1.06E+01	1.71E+01	1.42E+01	4.82E+00	1.49E+02	5.73E+00
Skin-Melanoma::SP82451	1.12E+02	7.58E+00	1.51E+01	4.43E+01	4.09E+01	6.29E+00	1.01E+02	7.61E+00
Skin-Melanoma::SP83312	1.31E+02	7.00E+00	9.03E+00	2.26E+01	2.31E+01	7.00E+00	1.32E+02	5.89E+00
Skin-Melanoma::SP82614	1.27E+02	6.78E+00	8.03E+00	2.56E+01	2.95E+01	6.43E+00	1.41E+02	5.86E+00
Skin-Melanoma::SP82431	8.40E+02	3.44E+01	0.00E+00	1.37E+02	3.57E+02	9.99E+01	1.20E+03	4.53E+01
Skin-Melanoma::SP82459	1.59E+02	9.12E+00	1.04E+01	3.05E+01	3.51E+01	6.75E+00	1.75E+02	7.79E+00
Skin-Melanoma::SP82532	7.31E+02	2.03E+01	4.43E+01	1.15E+02	1.26E+02	2.98E+01	6.35E+02	2.40E+01
Skin-Melanoma::SP83482	1.52E+02	1.11E+01	9.61E+00	3.53E+01	2.79E+01	1.48E+01	1.72E+02	9.73E+00
Skin-Melanoma::SP104530	1.39E+02	9.36E+00	1.98E+01	1.02E+02	9.36E+01	8.79E+00	1.91E+02	1.31E+01
Skin-Melanoma::SP82644	5.26E+02	2.18E+01	2.58E+01	2.00E+01	2.27E+01	1.92E+01	5.60E+02	1.65E+01
Skin-Melanoma::SP82988	2.04E+02	9.08E+00	2.00E+01	8.65E+00	1.37E+01	7.51E+00	2.20E+02	9.39E+00
Skin-Melanoma::SP82461	2.01E+02	8.78E+00	1.25E+01	2.76E+01	3.35E+01	7.94E+00	2.00E+02	9.80E+00
