Samples	SBS96A	SBS96B
Lung-SCC::SP57066	52424	5489
Lung-SCC::SP57846	40813	13151
Lung-SCC::SP57189	104057	9789
Lymph-BNHL::SP116668	66901	0
Lymph-BNHL::SP116697	97545	14984
Panc-AdenoCA::SP125732	94520	1225
Panc-AdenoCA::SP125770	54657	797
Skin-Melanoma::SP124389	0	70873
Skin-Melanoma::SP124362	0	214810
Skin-Melanoma::SP124394	0	105876
Skin-Melanoma::SP124334	3642	84122
Skin-Melanoma::SP124454	484	58331
Skin-Melanoma::SP124380	4029	158942
Skin-Melanoma::SP124399	0	144375
Skin-Melanoma::SP124311	13551	95828
Skin-Melanoma::SP124434	4527	80734
Skin-Melanoma::SP124428	0	305689
Skin-Melanoma::SP124449	0	137987
Skin-Melanoma::SP124298	2849	363867
Skin-Melanoma::SP124431	8113	84539
Skin-Melanoma::SP124409	0	245674
Skin-Melanoma::SP124376	916	54252
Skin-Melanoma::SP124439	10797	308886
Skin-Melanoma::SP124406	7535	66219
Skin-Melanoma::SP124382	13561	465400
Skin-Melanoma::SP124415	0	859178
Skin-Melanoma::SP124436	5203	313612
Skin-Melanoma::SP124460	0	163978
Skin-Melanoma::SP124425	4753	86765
Skin-Melanoma::SP124367	12912	143055
Skin-Melanoma::SP124377	5049	55970
Skin-Melanoma::SP124412	4496	72792
Skin-Melanoma::SP124329	0	51726
Skin-Melanoma::SP124326	1001	60289
Skin-Melanoma::SP124458	4946	156565
Skin-Melanoma::SP124401	11596	424369
Skin-Melanoma::SP124384	26131	151651
Skin-Melanoma::SP124462	599	113572
Skin-Melanoma::SP124452	1470	90439
Skin-Melanoma::SP124386	0	115835
Skin-Melanoma::SP124418	2739	104642
Skin-Melanoma::SP124319	0	205301
Skin-Melanoma::SP124447	27994	416097
Skin-Melanoma::SP124369	0	140457
Skin-Melanoma::SP124365	4743	70793
Skin-Melanoma::SP124420	0	71144
Skin-Melanoma::SP124364	4393	105021
Skin-Melanoma::SP124307	0	121510
Skin-Melanoma::SP82445	19184	725369
Skin-Melanoma::SP83242	8964	64284
Skin-Melanoma::SP103894	6578	152771
Skin-Melanoma::SP83382	3058	55824
Skin-Melanoma::SP82451	7980	43553
Skin-Melanoma::SP83312	3890	53852
Skin-Melanoma::SP82614	2460	54984
Skin-Melanoma::SP82431	48362	324986
Skin-Melanoma::SP82459	0	78286
Skin-Melanoma::SP82532	24570	188319
Skin-Melanoma::SP83482	4184	64499
Skin-Melanoma::SP104530	10078	61284
Skin-Melanoma::SP82644	0	240513
Skin-Melanoma::SP82988	1043	91380
Skin-Melanoma::SP82461	4255	80464
Skin-Melanoma::SP82900	1582	278232
Skin-Melanoma::SP82399	1990	114305
Skin-Melanoma::SP82417	0	250745
Skin-Melanoma::SP104056	19802	314202
Skin-Melanoma::SP83083	5638	70039
Skin-Melanoma::SP83019	3081	95042
Skin-Melanoma::SP83146	0	347886
Skin-Melanoma::SP103866	969	93918
Skin-Melanoma::SP83844	3463	53724
Stomach-AdenoCA::SP135287	64164	2410
Stomach-AdenoCA::SP85122	77647	3012
Stomach-AdenoCA::SP84384	112674	5763
Stomach-AdenoCA::SP84491	64707	0
Stomach-AdenoCA::SP84743	57846	2160
Stomach-AdenoCA::SP84982	63382	661
Stomach-AdenoCA::SP84392	100489	4131
Stomach-AdenoCA::SP105018	51714	7090
Stomach-AdenoCA::SP84439	364710	24505
Stomach-AdenoCA::SP84922	68029	0
Uterus-AdenoCA::SP90209	515785	34144
Uterus-AdenoCA::SP93540	62301	3396
Uterus-AdenoCA::SP93227	889992	38226
Uterus-AdenoCA::SP94933	59842	2600
Uterus-AdenoCA::SP92364	114367	984
Uterus-AdenoCA::SP92659	282262	0
