Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Panc-AdenoCA::SP125732	1.33E+01	1.11E+01	2.48E+02	0.00E+00	2.22E+02	4.50E+01	4.57E+00
Panc-AdenoCA::SP125770	1.60E+01	1.21E+01	2.43E+02	5.84E+01	1.60E+02	4.42E+01	1.99E+01
Skin-Melanoma::SP124389	1.70E+01	4.20E+00	8.55E+00	9.63E+00	1.08E+01	2.86E+00	1.05E+01
Skin-Melanoma::SP124362	2.97E+01	9.09E+00	2.29E+01	1.80E+01	2.38E+01	4.61E+00	2.23E+01
Skin-Melanoma::SP124394	1.76E+01	5.76E+00	8.91E+00	7.35E+00	1.17E+01	4.17E+00	1.11E+01
Skin-Melanoma::SP124334	1.70E+01	7.13E+00	1.04E+01	1.46E+01	1.53E+01	7.72E+00	1.39E+01
Skin-Melanoma::SP124454	1.47E+01	4.73E+00	1.01E+01	1.19E+01	1.12E+01	3.37E+00	9.06E+00
Skin-Melanoma::SP124380	3.24E+01	9.58E+00	1.29E+01	1.74E+01	2.32E+01	1.31E+01	2.17E+01
Skin-Melanoma::SP124399	2.62E+01	7.74E+00	1.35E+01	1.72E+01	2.19E+01	7.96E+00	1.45E+01
Skin-Melanoma::SP124311	3.35E+01	1.02E+01	0.00E+00	1.89E+01	4.28E+01	1.98E+01	1.22E+01
Skin-Melanoma::SP124434	1.55E+01	6.60E+00	1.20E+01	1.28E+01	1.24E+01	5.07E+00	1.11E+01
Skin-Melanoma::SP124428	3.76E+01	1.35E+01	3.05E+01	2.99E+01	3.44E+01	6.19E+00	3.21E+01
Skin-Melanoma::SP124449	2.36E+01	6.31E+00	1.45E+01	1.44E+01	1.65E+01	4.18E+00	1.71E+01
Skin-Melanoma::SP124298	5.63E+01	1.45E+01	2.66E+01	3.88E+01	4.47E+01	1.11E+01	3.70E+01
Skin-Melanoma::SP124431	2.17E+01	7.81E+00	1.12E+01	1.73E+01	1.92E+01	6.72E+00	9.43E+00
Skin-Melanoma::SP124409	3.75E+01	9.67E+00	2.25E+01	1.92E+01	2.92E+01	5.99E+00	3.11E+01
Skin-Melanoma::SP124376	1.17E+01	3.44E+00	7.78E+00	8.41E+00	8.88E+00	2.81E+00	7.76E+00
Skin-Melanoma::SP124439	4.99E+01	1.57E+01	4.23E+01	3.66E+01	6.10E+01	1.77E+01	4.45E+01
